DATE,ACMTP10,10year yield,Rolling mean 10yr,Standard dev,buy,sell
22-Jun-1999,1.488023986,5.94,1.488023986,#DIV/0!,,
23-Jun-1999,1.52712825,6.00,1.507576118,0.02765089,0,0
24-Jun-1999,1.535045315,6.05,1.516732517,0.02517548,0,
25-Jun-1999,1.507260466,6.02,1.514364504,0.021094228,0,
28-Jun-1999,1.459725576,5.96,1.503436719,0.030509135,0,
29-Jun-1999,1.461869213,5.93,1.496508801,0.032134438,0,
30-Jun-1999,1.519098516,5.81,1.499735903,0.030551886,0,
01-Jul-1999,1.534124798,5.85,1.504034515,0.030787934,0,
02-Jul-1999,1.503210599,5.82,1.503942969,0.028800785,0,
06-Jul-1999,1.503574853,,1.503906157,0.02715389,0,
07-Jul-1999,1.506934025,5.88,1.504181418,0.025776613,0,
08-Jul-1999,1.446785358,5.92,1.499398413,0.029640452,0,
09-Jul-1999,1.437906909,5.85,1.494668297,0.033108991,0,
13-Jul-1999,1.357171213,5.84,1.484847077,0.048603199,0,
14-Jul-1999,1.36149497,5.74,1.476623603,0.056638504,0,
15-Jul-1999,1.367450138,5.71,1.469800262,0.061147254,0,
16-Jul-1999,1.370906719,5.74,1.463982994,0.063879497,0,
19-Jul-1999,1.38102865,5.72,1.45937442,0.064983511,0,
20-Jul-1999,1.390857977,5.68,1.455768291,0.065079434,0,
22-Jul-1999,1.488343284,5.66,1.457397041,0.063761093,0,
23-Jul-1999,1.512360531,5.65,1.46001435,0.06329344,0,
26-Jul-1999,1.488078175,5.66,1.461289978,0.062057182,0,
27-Jul-1999,1.456944949,5.78,1.461101064,0.060637158,0,
28-Jul-1999,1.430182938,5.84,1.459812809,0.059639179,0,
29-Jul-1999,1.44121018,5.86,1.459068704,0.058501903,0,
30-Jul-1999,1.49068332,5.82,1.46028465,0.057654275,0,
02-Aug-1999,1.497351947,5.81,1.461657513,0.056982954,0,
03-Aug-1999,1.470559378,5.88,1.461975437,0.055943058,0,
04-Aug-1999,1.507332133,5.92,1.463539461,0.055576905,0,
05-Aug-1999,1.517478017,5.92,1.465337413,0.055491091,0,
06-Aug-1999,1.545036437,5.95,1.467908349,0.056404967,0,
09-Aug-1999,1.570219511,5.96,1.471105573,0.058360965,0,
10-Aug-1999,1.608883738,5.88,1.475280669,0.062247906,1,
11-Aug-1999,1.599901369,6.02,1.478945983,0.064916543,0,
12-Aug-1999,1.685806334,6.13,1.484856279,0.072889078,1,
13-Aug-1999,1.603129504,6.16,1.488141647,0.074495596,0,
16-Aug-1999,1.627369206,6.05,1.491904554,0.076937239,0,
17-Aug-1999,1.580729726,6.08,1.494242058,0.077246268,0,
18-Aug-1999,1.563030078,5.98,1.496005853,0.077014856,0,
19-Aug-1999,1.592346481,5.98,1.498414369,0.077532197,0,
20-Aug-1999,1.55212196,5.89,1.49972431,0.077015027,0,
23-Aug-1999,1.516551314,5.88,1.500124953,0.07611432,0,
24-Aug-1999,1.528760073,5.90,1.500790886,0.075329416,0,
25-Aug-1999,1.464899684,5.88,1.499975177,0.074644706,0,
26-Aug-1999,1.435322947,5.89,1.498538461,0.074418321,0,
27-Aug-1999,1.498081387,5.85,1.498528525,0.073586836,0,
30-Aug-1999,1.584512059,5.73,1.500357961,0.073855305,0,
31-Aug-1999,1.614868156,5.75,1.502743591,0.074911477,0,
01-Sep-1999,1.636161017,5.85,1.505466395,0.076538147,0,
02-Sep-1999,1.704635465,5.95,1.509449777,0.08082018,1,
03-Sep-1999,1.628900269,5.98,1.511791943,0.081737607,0,
07-Sep-1999,1.69389951,5.99,1.515294012,0.084780829,1,
08-Sep-1999,1.690037103,6.03,1.518591051,0.087325237,0,
09-Sep-1999,1.71969757,5.89,1.522315246,0.090723623,1,
10-Sep-1999,1.675017655,,1.525091653,0.092208016,0,
13-Sep-1999,1.706255397,5.95,1.52832672,0.09451882,0,
14-Sep-1999,1.771595558,5.93,1.532594595,0.099058144,1,
15-Sep-1999,1.769673563,5.97,1.536682163,0.103002151,1,
16-Sep-1999,1.715600987,5.89,1.539714685,0.104733457,0,
17-Sep-1999,1.663655208,5.92,1.541780361,0.105067602,0,
20-Sep-1999,1.684612749,5.96,1.544121875,0.105781182,0,
21-Sep-1999,1.707155858,5.94,1.546751456,0.106934243,0,
22-Sep-1999,1.710114062,5.90,1.549344513,0.108046779,0,
23-Sep-1999,1.622081209,5.87,1.550481024,0.107570764,0,
24-Sep-1999,1.577865278,5.91,1.55090232,0.106781094,0,
27-Sep-1999,1.62109252,5.94,1.551965808,0.106308184,0,
28-Sep-1999,1.694922034,5.92,1.554099483,0.10693558,0,
29-Sep-1999,1.732306236,5.87,1.556720171,0.108312361,0,
30-Sep-1999,1.664673885,5.75,1.558284717,0.108295628,0,
01-Oct-1999,1.766896366,5.83,1.561264884,0.110361544,0,
04-Oct-1999,1.737863788,5.89,1.563752192,0.111556851,0,
05-Oct-1999,1.780570007,5.97,1.566763551,0.113677467,0,
06-Oct-1999,1.710878781,5.90,1.568737732,0.114138495,0,
07-Oct-1999,1.694544984,6.00,1.57043783,0.114293571,0,
08-Oct-1999,1.737644229,5.95,1.572667248,0.115148887,0,
12-Oct-1999,1.744116906,6.02,1.574923165,0.116057107,0,
13-Oct-1999,1.802499595,6.04,1.577878703,0.118172061,0,
14-Oct-1999,1.840308102,6.05,1.581243183,0.121104151,1,
15-Oct-1999,1.825898291,6.04,1.584340083,0.123433623,0,
18-Oct-1999,1.83620794,,1.587488431,0.125841043,0,
19-Oct-1999,1.871433802,6.07,1.590993929,0.128970495,1,
20-Oct-1999,1.850308916,6.12,1.594156307,0.131331984,0,
21-Oct-1999,1.907979859,6.17,1.597937314,0.134997468,1,
22-Oct-1999,1.874487942,6.09,1.601229583,0.137532634,0,
25-Oct-1999,1.84978409,6.12,1.604153754,0.139344394,0,
26-Oct-1999,1.863984051,6.18,1.607175036,0.141327447,0,
27-Oct-1999,1.79514905,6.19,1.609335657,0.14194132,0,
28-Oct-1999,1.720405624,6.20,1.610597816,0.141619023,0,
29-Oct-1999,1.615554964,6.21,1.610653514,0.140813051,0,
01-Nov-1999,1.638817162,6.22,1.610966444,0.140051199,0,
02-Nov-1999,1.599838418,6.24,1.610844158,0.139275849,0,
03-Nov-1999,1.606530372,6.19,1.610797269,0.138509213,0,
04-Nov-1999,1.569453702,6.12,1.610352714,0.137821084,0,
05-Nov-1999,1.512050368,6.02,1.609306945,0.137452571,0,
08-Nov-1999,1.486186832,6.06,1.608010943,0.13730179,0,
09-Nov-1999,1.473798771,6.04,1.6066129,0.137262435,0,
10-Nov-1999,1.483060143,6.01,1.60533916,0.137120713,0,
12-Nov-1999,1.463824227,5.95,1.60389513,0.137159053,0,
15-Nov-1999,1.409035827,5.92,1.601926854,0.137855639,0,
16-Nov-1999,1.38061441,5.95,1.59971373,0.138931666,0,
17-Nov-1999,1.473414739,5.97,1.598463245,0.138805341,0,
18-Nov-1999,1.554187269,6.00,1.598029167,0.138186036,0,
19-Nov-1999,1.51958899,,1.597267612,0.137724026,0,
22-Nov-1999,1.550122943,5.93,1.596814298,0.137131777,0,
23-Nov-1999,1.564058223,5.94,1.596502335,0.136508331,0,
24-Nov-1999,1.572930023,5.97,1.596279955,0.135876027,0,
26-Nov-1999,1.593769343,6.04,1.596256491,0.135233802,0,
29-Nov-1999,1.646138216,6.06,1.596718359,0.134685939,0,
30-Nov-1999,1.63879739,6.07,1.597104405,0.134121516,0,
01-Dec-1999,1.699346488,6.09,1.598033878,0.133860298,0,
02-Dec-1999,1.700339091,6.08,1.598955547,0.133603798,0,
03-Dec-1999,1.658169569,6.09,1.599484244,0.133118257,0,
06-Dec-1999,1.642516553,,1.59986506,0.132584461,0,
07-Dec-1999,1.619082453,6.12,1.600033634,0.132008771,0,
08-Dec-1999,1.646626199,6.21,1.600438787,0.131500306,0,
09-Dec-1999,1.611638919,6.18,1.60053534,0.130931447,0,
10-Dec-1999,1.537560145,6.21,1.59999709,0.130495805,0,
13-Dec-1999,1.534368841,6.24,1.599440919,0.130077313,0,
14-Dec-1999,1.615475983,6.17,1.599575667,0.129533306,0,
15-Dec-1999,1.6679203,6.16,1.600145206,0.129138698,0,
16-Dec-1999,1.741989065,6.11,1.602261581,0.129366609,0,
17-Dec-1999,1.71102297,6.15,1.603794037,0.129558164,0,
20-Dec-1999,1.780881008,6.14,1.605842668,0.130402822,0,
21-Dec-1999,1.805237786,6.08,1.608325812,0.131343499,0,
22-Dec-1999,1.785231973,6.11,1.611038366,0.131609732,0,
23-Dec-1999,1.802720403,6.22,1.613878792,0.132040733,0,
27-Dec-1999,1.769737878,6.25,1.615967454,0.132510381,0,
28-Dec-1999,1.795186417,6.31,1.618142967,0.133296107,0,
29-Dec-1999,1.781303692,6.30,1.62046041,0.133697951,0,
30-Dec-1999,1.77819371,6.36,1.6227489,0.134030318,0,
31-Dec-1999,1.784127688,6.38,1.625058847,0.134405655,0,
03-Jan-2000,1.797013381,6.39,1.627977414,0.134304479,0,1
04-Jan-2000,1.781069252,6.41,1.6308371,0.133876102,0,1
05-Jan-2000,1.847870993,,1.634926265,0.132937674,0,1
06-Jan-2000,1.774419533,6.40,1.638367303,0.131132476,0,1
